src,dst
0,345
0,436
0,291
0,304
0,87
0,38
0,152
0,195
1,276
1,131
1,113
1,666
1,10
1,615
1,500
2,160
2,921
2,123
2,394
2,964
2,115
2,78
3,442
3,983
3,580
3,842
3,215
3,979
3,513
3,594
4,291
4,925
4,38
4,552
4,745
4,895
4,727
4,606
5,433
5,274
5,575
5,495
5,151
5,56
5,9
5,435
6,179
6,625
6,72
6,121
6,618
6,546
6,472
7,531
7,984
7,387
7,95
7,371
7,339
7,341
8,543
8,9
8,43
8,686
8,226
8,669
8,823
8,601
9,508
9,871
9,993
9,598
9,196
9,808
9,119
9,525
10,549
10,108
10,910
10,911
10,679
10,647
10,615
11,536
11,736
11,236
11,957
11,244
11,212
11,426
11,593
12,598
12,374
12,934
12,480
12,331
12,774
12,235
12,676
13,32
13,421
13,750
13,38
13,980
13,406
13,954
13,536
14,995
14,815
14,877
14,448
14,751
14,511
14,263
14,621
15,229
15,309
15,731
15,387
15,371
15,528
15,260
15,341
16,975
16,247
16,503
16,318
16,453
16,305
16,404
16,502
17,34
17,180
17,642
17,715
17,97
17,549
17,588
18,289
18,180
18,840
18,888
18,397
18,217
18,247
18,22
19,655
19,221
19,564
19,55
19,343
19,106
19,391
19,925
20,545
20,904
20,270
20,605
20,88
20,11
20,424
20,661
21,733
21,704
21,741
21,52
21,92
21,196
21,323
21,165
22,86
22,195
22,290
22,389
22,805
22,555
22,18
22,680
23,735
23,503
23,636
23,6
23,72
23,355
23,576
23,948
24,390
24,146
24,349
24,532
24,11
24,587
24,88
24,990
25,955
25,959
25,722
25,373
25,57
25,527
25,398
25,80
26,627
26,104
26,633
26,919
26,574
26,137
26,197
26,144
27,911
27,546
27,58
27,270
27,169
27,146
27,342
28,440
28,620
28,758
28,594
28,876
28,111
28,516
28,768
29,828
29,971
29,556
29,802
29,626
29,862
29,875
29,826
30,240
30,632
30,794
30,253
30,347
30,287
30,417
30,477
31,846
31,212
31,352
31,61
31,343
31,651
31,505
32,276
32,975
32,947
32,218
32,305
32,821
32,394
32,97
33,596
33,549
33,175
33,53
33,641
33,276
33,168
34,514
34,17
34,170
34,114
34,849
34,390
34,247
35,887
35,504
35,989
35,977
35,959
35,970
35,56
35,563
36,734
36,996
36,972
36,240
36,417
36,981
36,779
37,463
37,920
37,184
37,371
37,172
37,704
37,754
37,7
38,636
38,218
38,25
38,918
38,910
38,625
38,898
38,911
39,640
39,844
39,547
39,865
39,191
39,809
39,800
39,996
40,20
40,26
40,981
40,513
40,482
40,972
