src,dst,edge_type
ENTRY,LIB:multimedia,entry_to_lib
ENTRY,LIB:daily,entry_to_lib
ENTRY,LIB:huggingface,entry_to_lib
LIB:multimedia,TOOL:multimedia::Image Downloader,lib_to_tool
LIB:multimedia,TOOL:multimedia::Video Downloader,lib_to_tool
LIB:multimedia,TOOL:multimedia::Audio Downloader,lib_to_tool
LIB:multimedia,TOOL:multimedia::Text Downloader,lib_to_tool
LIB:multimedia,TOOL:multimedia::Text Search,lib_to_tool
LIB:multimedia,TOOL:multimedia::Image Search,lib_to_tool
LIB:multimedia,TOOL:multimedia::Image Search (by Image),lib_to_tool
LIB:multimedia,TOOL:multimedia::URL Extractor,lib_to_tool
LIB:multimedia,TOOL:multimedia::Video Search,lib_to_tool
LIB:multimedia,TOOL:multimedia::Text-to-Image,lib_to_tool
LIB:multimedia,TOOL:multimedia::Text-to-Video,lib_to_tool
LIB:multimedia,TOOL:multimedia::Text-to-Audio,lib_to_tool
LIB:multimedia,TOOL:multimedia::Image-to-Text,lib_to_tool
LIB:multimedia,TOOL:multimedia::Audio-to-Text,lib_to_tool
LIB:multimedia,TOOL:multimedia::Video-to-Text,lib_to_tool
LIB:multimedia,TOOL:multimedia::Audio Noise Reduction,lib_to_tool
LIB:multimedia,TOOL:multimedia::Audio Effects,lib_to_tool
LIB:multimedia,TOOL:multimedia::Audio Splicer,lib_to_tool
LIB:multimedia,TOOL:multimedia::Voice Changer,lib_to_tool
LIB:multimedia,TOOL:multimedia::Text Summarizer,lib_to_tool
LIB:multimedia,TOOL:multimedia::Text Translator,lib_to_tool
LIB:multimedia,TOOL:multimedia::Text Sentiment Analysis,lib_to_tool
LIB:multimedia,TOOL:multimedia::Text Grammar Checker,lib_to_tool
LIB:multimedia,TOOL:multimedia::Text Simplifier,lib_to_tool
LIB:multimedia,TOOL:multimedia::Text Expander,lib_to_tool
LIB:multimedia,TOOL:multimedia::Keyword Extractor,lib_to_tool
LIB:multimedia,TOOL:multimedia::Text Paraphraser,lib_to_tool
LIB:multimedia,TOOL:multimedia::Article Spinner,lib_to_tool
LIB:multimedia,TOOL:multimedia::Topic Generator,lib_to_tool
LIB:multimedia,TOOL:multimedia::Audio-to-Image,lib_to_tool
LIB:multimedia,TOOL:multimedia::Image-to-Video,lib_to_tool
LIB:multimedia,TOOL:multimedia::Video-to-Audio,lib_to_tool
