walk_id,start_type,start_library_node,start_library_name,start_tool_node,start_tool_label,step_1,step_2,step_3,step_4,step_5
1,tool,,,TOOL:daily::organize_meeting_online,daily::organize_meeting_online,daily::organize_meeting_online,daily::attend_meeting_online,daily::organize_meeting_online,daily::attend_meeting_online,daily::organize_meeting_online
2,tool,,,TOOL:daily::daily_bill_payment,daily::daily_bill_payment,daily::daily_bill_payment,daily::online_banking,daily::stock_operation,daily::sell_item_online,daily::pay_for_credit_card
3,tool,,,TOOL:huggingface::Depth Estimation,huggingface::Depth Estimation,huggingface::Depth Estimation,huggingface::Object Detection,multimedia::Image Search,huggingface::Image-to-Image,multimedia::Image Search (by Image)
4,tool,,,TOOL:multimedia::Audio Downloader,multimedia::Audio Downloader,multimedia::Audio Downloader,huggingface::Audio-to-Audio,multimedia::Audio-to-Image,multimedia::Image Colorizer,multimedia::Image Search (by Image)
5,tool,,,TOOL:huggingface::Text-to-Video,huggingface::Text-to-Video,huggingface::Text-to-Video,multimedia::Video-to-Text,daily::make_video_call,daily::make_voice_call,daily::send_sms
6,tool,,,TOOL:multimedia::Audio Noise Reduction,multimedia::Audio Noise Reduction,multimedia::Audio Noise Reduction,huggingface::Audio Classification,huggingface::Text-to-Video,multimedia::Video-to-Audio,multimedia::Audio Noise Reduction
7,tool,,,TOOL:multimedia::Video Speed Changer,multimedia::Video Speed Changer,multimedia::Video Speed Changer,multimedia::Video-to-Text,huggingface::Text Generation,multimedia::Text Expander,huggingface::Text-to-Image
8,tool,,,TOOL:multimedia::Text Summarizer,multimedia::Text Summarizer,multimedia::Text Summarizer,huggingface::Text Generation,multimedia::Text-to-Image,multimedia::Image Colorizer,multimedia::Image Search (by Image)
9,tool,,,TOOL:multimedia::Audio-to-Text,multimedia::Audio-to-Text,multimedia::Audio-to-Text,huggingface::Text-to-Image,huggingface::Image-to-Text,huggingface::Summarization,multimedia::Text Paraphraser
10,tool,,,TOOL:huggingface::Automatic Speech Recognition,huggingface::Automatic Speech Recognition,huggingface::Automatic Speech Recognition,huggingface::Token Classification,multimedia::Keyword Extractor,multimedia::Text Summarizer,huggingface::Translation
11,tool,,,TOOL:daily::daily_bill_payment,daily::daily_bill_payment,daily::daily_bill_payment,daily::pay_for_credit_card,daily::online_banking,daily::daily_bill_payment,daily::online_banking
12,tool,,,TOOL:multimedia::Audio Noise Reduction,multimedia::Audio Noise Reduction,multimedia::Audio Noise Reduction,multimedia::Audio-to-Image,multimedia::Image Colorizer,multimedia::Image-to-Text,multimedia::Keyword Extractor
13,tool,,,TOOL:multimedia::Video Speed Changer,multimedia::Video Speed Changer,multimedia::Video Speed Changer,multimedia::Video-to-Audio,multimedia::Audio Noise Reduction,huggingface::Audio Classification,huggingface::Token Classification
14,tool,,,TOOL:daily::get_weather,daily::get_weather,daily::get_weather,daily::book_flight,daily::order_food_delivery,daily::online_shopping,daily::sell_item_online
15,tool,,,TOOL:multimedia::Text Translator,multimedia::Text Translator,multimedia::Text Translator,multimedia::Text Summarizer,multimedia::Text Paraphraser,huggingface::Translation,multimedia::Text Expander
16,tool,,,TOOL:daily::send_email,daily::send_email,daily::send_email,daily::deliver_package,daily::apply_for_job,daily::deliver_package,daily::order_taxi
17,tool,,,TOOL:huggingface::Document Question Answering,huggingface::Document Question Answering,huggingface::Document Question Answering,huggingface::Text-to-Image,huggingface::Tabular Classification,huggingface::Text-to-Image,huggingface::Object Detection
18,tool,,,TOOL:daily::search_by_engine,daily::search_by_engine,daily::search_by_engine,multimedia::Image Search,huggingface::Object Detection,huggingface::Text-to-Image,huggingface::Image Segmentation
19,tool,,,TOOL:huggingface::Image-to-Image,huggingface::Image-to-Image,huggingface::Image-to-Image,multimedia::Image Search (by Image),multimedia::Image-to-Text,multimedia::Text Translator,multimedia::Text Paraphraser
20,tool,,,TOOL:multimedia::Image-to-Text,multimedia::Image-to-Text,multimedia::Image-to-Text,huggingface::Text-to-Image,huggingface::Image Classification,multimedia::Image Search,huggingface::Object Detection
21,tool,,,TOOL:multimedia::Audio Downloader,multimedia::Audio Downloader,multimedia::Audio Downloader,multimedia::Audio-to-Image,huggingface::Image-to-Text,huggingface::Summarization,multimedia::Topic Generator
22,tool,,,TOOL:daily::make_voice_call,daily::make_voice_call,daily::make_voice_call,daily::make_video_call,multimedia::Text-to-Video,multimedia::Video Stabilizer,multimedia::Video-to-Image
23,tool,,,TOOL:multimedia::Text Sentiment Analysis,multimedia::Text Sentiment Analysis,multimedia::Text Sentiment Analysis,huggingface::Text Generation,multimedia::Text Summarizer,multimedia::Text Sentiment Analysis,huggingface::Token Classification
24,tool,,,TOOL:daily::print_document,daily::print_document,daily::print_document,daily::daily_bill_payment,daily::online_banking,daily::sell_item_online,daily::online_shopping
25,tool,,,TOOL:daily::order_food_delivery,daily::order_food_delivery,daily::order_food_delivery,daily::sell_item_online,daily::stock_operation,daily::software_management,daily::enroll_in_course
26,tool,,,TOOL:multimedia::Text-to-Audio,multimedia::Text-to-Audio,multimedia::Text-to-Audio,multimedia::Audio Noise Reduction,multimedia::Audio-to-Text,multimedia::Keyword Extractor,multimedia::Text Expander
27,tool,,,TOOL:daily::send_sms,daily::send_sms,daily::send_sms,daily::send_email,daily::send_sms,multimedia::Text-to-Image,huggingface::Image Segmentation
28,tool,,,TOOL:huggingface::Sentence Similarity,huggingface::Sentence Similarity,huggingface::Sentence Similarity,multimedia::Text Summarizer,multimedia::Topic Generator,huggingface::Conversational,multimedia::Text-to-Image
29,tool,,,TOOL:huggingface::Translation,huggingface::Translation,huggingface::Translation,huggingface::Text-to-Speech,huggingface::Audio-to-Audio,multimedia::Audio Noise Reduction,multimedia::Audio-to-Text
30,tool,,,TOOL:multimedia::Text Downloader,multimedia::Text Downloader,multimedia::Text Downloader,multimedia::Text Search,daily::get_news_for_topic,daily::organize_meeting_online,daily::get_news_for_topic
